brand_Ford,brand_Volkswagen,car_age,brand_Toyota,usage_intensity,owner,brand_Other,brand_Honda,mileage_power_interaction,engine,mileage,transmission_Manual,km_per_year,brand_Nissan,km_driven,max_power,seller_type_Trustmark Dealer,brand_Hyundai,brand_Renault,fuel_Diesel,brand_Maruti,fuel_Petrol,age_km_interaction,brand_Tata,fuel_LPG,specific_power,seller_type_Individual,selling_price
0,0,-0.09979598312473753,0,2,1,0,0,0.30298665845689887,0.13868228579781053,0.8103356726276074,1.0,2.3739239553939044,0,2.022102486191345,-0.24158944323366016,0.0,0,0,1.0,1,0.0,1.1995953898044447,0,0.0,-0.6160019726583185,1.0,450000
0,0,-0.09979598312473753,0,2,2,1,0,1.4932782255399137,1.3419343715837497,0.09325663456686001,1.0,1.635957515013514,0,1.3712096001987282,1.6228282422177045,0.0,0,0,1.0,0,0.0,0.7613804344210867,0,0.0,0.6870280237976177,1.0,370000
0,0,2.0013096255767735,0,2,3,0,1,-0.6115944129275679,1.337121363240606,-0.9982265030123322,1.0,0.5088261096853636,0,1.881713824506663,0.011041679456226671,0.0,0,0,0.0,0,1.0,2.854813732865649,0,0.0,-1.5710554865247546,1.0,158000
0,0,0.950756821226018,0,2,1,0,0,1.1847366144583338,0.8510075205830866,0.6834190287230507,1.0,0.8584399320767886,0,1.5498860787065054,0.7689350475258871,0.0,1,0,1.0,0,0.0,1.6753046729211383,0,0.0,0.07133965646338436,1.0,225000
0,0,1.7386714244890846,0,2,1,0,0,-0.5088799233720809,0.3793327029549984,-1.5058930786305602,1.0,0.28543069601672116,0,1.3712096001987282,0.6552510423154383,0.0,0,0,0.0,1,1.0,2.0736819050878275,0,0.0,0.5336517352595351,1.0,130000
0,0,-0.8877105863878042,0,2,1,0,0,0.08687558088368218,-0.10678113970252108,-0.22403497519453294,1.0,-0.04617187114767,0,-0.5431812409560266,0.25483071285196746,0.0,1,0,0.0,0,1.0,-0.7383926749123312,0,0.0,0.5916857906725365,1.0,440000
0,0,1.7386714244890846,0,2,1,0,0,-0.7097946241178872,-0.761350274370072,0.7960575501883465,1.0,1.2581315596989355,0,2.7750962170455487,-1.2836928243294434,0.0,0,0,0.0,1,0.0,3.6203229240879145,0,1.0,-1.293471609511959,1.0,96000
0,0,0.6881186201383291,1,2,1,0,0,-0.08450127802929899,0.6969912536024864,0.8706210784822725,1.0,0.20963582352200305,0,0.6054532637368263,-0.6773781298737153,0.0,0,0,1.0,0,0.0,0.6676446150877481,0,0.0,-1.957645143545977,1.0,350000
1,0,0.16284221796295137,0,2,1,0,0,-0.6600593927787103,0.8654465456125179,-0.26845580056112817,1.0,2.6464409742271857,0,2.621944949753168,-0.6142203492012436,0.0,0,0,1.0,0,0.0,1.8674631025544823,0,0.0,-2.0261690927037397,1.0,200000
0,0,-0.09979598312473753,0,2,2,0,0,1.1629390989236708,1.1638530628874308,-0.5825744942249067,1.0,0.13108477384565909,0,0.04389861699809824,1.9341961009329904,0.0,0,1,1.0,0,0.0,-0.13223437655674147,0,0.0,1.3676574355909012,1.0,500000
0,0,2.2639478266644626,0,1,2,0,0,-1.5042880740566795,-1.0886348417038474,-1.1251431469168889,1.0,-0.24513341144630463,0,0.8607053758907937,-1.125798372648264,0.0,0,0,0.0,1,1.0,1.8237197201989244,0,0.0,-0.4661708318993811,1.0,92000
0,0,1.2133950223137069,0,2,2,0,0,-0.49259464788446566,0.13868228579781053,-0.490559927394103,1.0,0.9486358303455031,0,1.881713824506663,-0.24790522130090697,0.0,0,0,1.0,1,0.0,2.198662997532279,0,0.0,-0.6266444850169463,1.0,280000
0,0,1.7386714244890846,0,1,2,0,0,-0.05115945640697511,0.13868228579781053,-0.4271016054418246,1.0,-0.4219881139339799,0,0.350201151582859,0.2529359794317932,0.0,0,0,0.0,1,1.0,0.948852073087764,0,0.0,0.2173067450222447,1.0,200000
