age_km_interaction,seller_type_Trustmark Dealer,brand_Toyota,brand_Ford,fuel_Diesel,mileage_power_interaction,fuel_LPG,usage_intensity,specific_power,transmission_Manual,brand_Nissan,mileage,engine,brand_Maruti,owner,brand_Renault,brand_Honda,brand_Other,max_power,fuel_Petrol,brand_Hyundai,brand_Volkswagen,km_per_year,seller_type_Individual,car_age,km_driven,brand_Tata,selling_price
90000,0.0,0,0,0.0,1607.0449999999998,0.0,1,0.0672344689378757,1.0,0,23.95,998.0,1,1,0,0,0,67.1,1.0,0,0,2500.0,1.0,6,15000,0,366000
378000,0.0,0,0,0.0,1382.21,0.0,1,0.0559265442404006,1.0,0,20.63,1198.0,0,1,0,0,1,67.0,1.0,0,0,4666.666666666667,1.0,9,42000,0,150000
202300,0.0,0,0,0.0,2087.94,0.0,1,0.0783567134268537,1.0,0,17.8,1497.0,0,1,0,1,0,117.3,1.0,0,0,4128.571428571428,0.0,7,28900,0,925000
1035600,0.0,0,0,0.0,1953.84,0.0,2,0.077688710754843,1.0,0,16.8,1497.0,0,1,0,1,0,116.3,1.0,0,0,7191.666666666667,0.0,12,86300,0,425000
163100,0.0,0,0,0.0,1538.09,0.0,1,0.0694569757727652,0.0,0,18.5,1197.0,1,1,0,0,0,83.14,1.0,0,0,3328.5714285714284,0.0,7,23300,0,675000
228200,0.0,0,0,1.0,2150.55,0.0,1,0.0709134615384615,1.0,0,24.3,1248.0,1,1,0,0,0,88.5,0.0,0,0,4657.142857142857,0.0,7,32600,0,819999
72100,0.0,0,0,0.0,1605.8475,0.0,1,0.0671843687374749,1.0,0,23.95,998.0,1,1,0,0,0,67.05,1.0,0,0,1471.428571428571,0.0,7,10300,0,390000
498000,0.0,0,0,1.0,2436.161,0.0,1,0.0658411214953271,1.0,0,24.7,1498.0,0,1,0,1,0,98.63,0.0,0,0,4980.0,0.0,10,49800,0,425000
547000,0.0,0,0,1.0,2563.6,0.0,2,0.0658210947930574,1.0,0,26.0,1498.0,0,1,0,1,0,98.6,0.0,0,0,5470.0,0.0,10,54700,0,600000
448000,0.0,0,0,0.0,2132.1125,0.0,2,0.0706224350205198,1.0,0,20.65,1462.0,1,1,0,0,0,103.25,1.0,0,0,9142.857142857143,0.0,7,64000,0,850000
630000,0.0,0,0,1.0,2691.78,0.0,2,0.0658210947930574,1.0,0,27.3,1498.0,0,1,0,1,0,98.6,0.0,0,0,6300.0,0.0,10,63000,0,525000
1680000,0.0,0,0,1.0,1875.456,0.0,2,0.0711538461538461,1.0,0,21.12,1248.0,0,1,0,0,0,88.8,0.0,0,0,8571.42857142857,1.0,14,120000,1,265000
1540000,0.0,0,0,0.0,1606.404,0.0,2,0.0659147869674185,1.0,0,20.36,1197.0,0,3,0,0,0,78.9,1.0,1,0,7857.142857142857,1.0,14,110000,0,190000
720000,0.0,0,0,1.0,1887.9252,0.0,1,0.0635816618911174,1.0,0,21.27,1396.0,0,1,0,0,0,88.76,0.0,1,0,5000.0,1.0,12,60000,0,425000
